,bigrams,counts
218,"('give', 'location')",5
219,"('friendly', 'service')",5
220,"('ordered', 'sandwich')",5
221,"('sandwiches', 'always')",5
222,"('bread', 'stale')",5
223,"('ever', 'eaten')",5
224,"('give', 'place')",5
225,"('money', 'back')",5
226,"('people', 'behind')",5
227,"('young', 'lady')",5
228,"('also', 'like')",5
229,"('going', 'subway')",5
230,"('said', 'would')",5
231,"('sandwiches', 'made')",5
232,"('little', 'bit')",5
233,"('new', 'orleans')",5
234,"('everything', 'fresh')",5
235,"('line', 'order')",5
236,"('lettuce', 'sandwich')",5
237,"('meatball', 'sandwich')",5
238,"('top', 'notch')",5
239,"('great', 'job')",5
240,"('sandwich', ""i've"")",5
241,"('tomatoes', 'red')",5
242,"('ranch', 'dressing')",5
243,"('staff', 'nice')",5
244,"('food', 'poisoning')",5
245,"('=', '(4)')",5
246,"('(4)', 'good')",5
247,"('love', 'sandwiches')",5
248,"('make', 'good')",5
249,"(""can't"", 'get')",5
250,"('port', 'subs')",5
251,"('salt', 'pepper')",5
252,"('steak', '&')",5
253,"('would', 'ask')",4
254,"('employee', 'working')",4
255,"('last', 'night')",4
256,"('consistently', 'good')",4
257,"('terrible', 'customer')",4
258,"('sweet', 'onion')",4
259,"('nice', 'people')",4
260,"('inside', 'order')",4
261,"('delivery', 'guy')",4
262,"('people', 'work')",4
263,"('service', 'much')",4
264,"('would', 'think')",4
265,"('online', 'ordering')",4
266,"('ten', 'minutes')",4
267,"('high', 'quality')",4
268,"('kids', 'meal')",4
269,"('favorite', 'sandwich')",4
270,"('quick', 'service')",4
271,"('delicious', 'sandwich')",4
272,"('subway', 'located')",4
273,"('the', 'staff')",4
274,"('keep', 'going')",4
275,"('staff', 'clean')",4
276,"('taste', 'great')",4
277,"('bread', 'fresh')",4
278,"('swiss', 'cheese')",4
279,"('making', 'sandwiches')",4
280,"('10', 'minutes')",4
281,"('friendly', 'employees')",4
282,"('one', 'person')",4
283,"('cold', 'cut')",4
284,"('store', 'clean')",4
285,"('charged', 'extra')",4
286,"('extra', 'cheese')",4
287,"('asked', 'cup')",4
288,"('2', 'times')",4
289,"('order', 'right')",4
290,"('subway', 'town')",4
291,"('always', 'super')",4
292,"('think', 'would')",4
293,"('wanted', 'get')",4
294,"('subs', 'delicious')",4
295,"('""freaky', 'fast""')",4
296,"('love', 'place')",4
297,"('one', 'two')",4
298,"('big', 'deal')",4
299,"(""i'm"", 'glad')",4
300,"('1', 'star')",4
301,"('like', 'get')",4
302,"('front', 'door')",4
303,"('sandwich', 'even')",4
304,"('friendly', 'store')",4
305,"(""i've"", 'always')",4
306,"('chicken', 'sandwich')",4
307,"('staff', 'really')",4
308,"('like', 'sandwich')",4
309,"('2', 'people')",4
310,"('busy', 'lunch')",4
311,"('friendly', 'courteous')",4
312,"('acted', 'like')",4
313,"('25', 'min')",4
314,"('dozen', 'times')",4
315,"('gluten', 'free')",4
316,"('looked', 'like')",4
317,"('sandwich', 'places')",4
318,"('go', 'get')",4
319,"('food', 'place')",4
320,"('good', 'sandwiches')",4
321,"(""i've"", 'tried')",4
322,"('sub', 'shops')",4
323,"('the', 'employees')",4
324,"('minutes', 'get')",4
325,"('subway', 'fare')",4
326,"('cold', 'sandwich')",4
327,"(""i'm"", 'going')",4
328,"('sandwich', 'asked')",4
329,"('messed', 'order')",4
330,"('order', 'correct')",4
331,"('give', 'one')",4
332,"('ingredients', 'always')",4
333,"('get', 'busy')",4
334,"('ordered', 'blt')",4
335,"('right', 'front')",4
336,"('take', 'time')",4
337,"('always', 'order')",4
338,"('place', 'order')",4
339,"('turkey', 'sandwich')",4
340,"(""i've"", 'seen')",4
341,"('two', 'people')",4
342,"('people', 'ahead')",4
343,"('quality', 'food')",4
344,"('time', 'come')",4
345,"('guys', 'work')",4
346,"('use', 'restroom')",4
347,"('friendly', 'sandwich')",4
348,"('sandwich', 'makers')",4
349,"('would', 'expect')",4
350,"('expect', 'subway')",4
351,"('location', 'staff')",4
352,"('seem', 'like')",4
353,"('put', 'together')",4
354,"('30', 'min')",4
355,"('place', 'eat')",4
356,"('service', 'subway')",4
357,"('location', 'really')",4
358,"('times', 'always')",4
359,"('subway', 'sandwiches')",4
360,"('red', 'wine')",4
361,"('place', 'go')",4
362,"('red', 'onions')",4
363,"('service', 'friendly')",4
364,"('back', 'store')",4
365,"('soda', 'fountain')",4
366,"('another', 'employee')",4
367,"('washing', 'hands')",4
368,"('went', 'back')",4
369,"('drink', 'machine')",4
370,"('felt', 'like')",4
371,"('clean', 'well')",4
372,"(""i've"", 'come')",4
373,"('line', 'moving')",4
374,"('place', 'love')",4
375,"('food', 'i')",4
376,"('food', 'delicious')",4
377,"(""can't"", 'beat')",4
378,"('half', 'half')",4
379,"('never', 'got')",4
380,"(""i've"", 'heard')",4
381,"('cell', 'phone')",4
382,"('second', 'time')",4
383,"('franchise', 'owner')",4
384,"('seemed', 'little')",4
385,"('philly', 'cheese')",4
386,"('location', 'good')",4
387,"('another', 'subway')",4
388,"('three', 'times')",3
389,"('close', 'home')",3
390,"('made', 'us')",3
391,"('good', 'subs')",3
392,"('stale', 'bread')",3
393,"(""i've"", 'many')",3
394,"('friday', 'night')",3
395,"('store', 'location')",3
396,"('getting', 'order')",3
397,"('wrong', 'sandwich')",3
398,"('avoid', 'subway')",3
399,"('subway', 'shop')",3
400,"('food', 'pretty')",3
401,"('far', 'best')",3
402,"('best', 'sandwich')",3
403,"('sub', 'good')",3
404,"('bread', 'soft')",3
405,"('also', 'missing')",3
406,"('first', 'thing')",3
407,"('big', 'fan')",3
408,"('way', 'go')",3
409,"('like', 'jimmy')",3
410,"(""john's"", 'location')",3
411,"('even', 'make')",3
412,"('get', 'good')",3
413,"('get', 'orders')",3
414,"('ordered', 'usual')",3
415,"('i', 'definitely')",3
416,"('clean', 'employees')",3
417,"('west', 'side')",3
418,"('order', 'told')",3
419,"('sandwich', 'ask')",3
420,"('many', 'places')",3
421,"('takes', 'hour')",3
422,"('delivery', 'service')",3
423,"('best', 'part')",3
424,"('location', 'time')",3
425,"('manager', 'called')",3
426,"(""i've"", 'gone')",3
427,"('4', 'times')",3
428,"('subway', 'really')",3
429,"('sandwich', 'chain')",3
430,"('least', 'week')",3
431,"('sandwich', '-')",3
432,"('time', 'employee')",3
433,"(""they're"", 'always')",3
434,"('free', 'cookie')",3
435,"('food', 'taste')",3
436,"('great', 'fast')",3
437,"('one', 'worst')",3
438,"('banana', 'peppers')",3
439,"('go', 'somewhere')",3
440,"('really', 'friendly')",3
441,"('clean', 'good')",3
442,"('fresh', 'vegetables')",3
443,"('quality', 'sandwich')",3
444,"('know', ""that's"")",3
445,"('staff', 'seems')",3
446,"('great', 'italian')",3
447,"('place', 'empty')",3
448,"('clean', ""i've"")",3
449,"('quick', 'food')",3
450,"('one', 'day')",3
451,"('asked', 'pickles')",3
452,"('said', 'asked')",3
453,"('get', 'extra')",3
454,"('cheese', 'sandwich')",3
455,"('friendly', 'always')",3
