,bigrams,counts
237,"('kind', 'of')",20
238,"('the', 'girl')",20
239,"('time', 'to')",20
240,"('that', 'was')",20
241,"('close', 'to')",19
242,"('is', 'not')",19
243,"('on', 'it')",19
244,"('me', 'a')",19
245,"(""didn't"", 'have')",19
246,"('of', 'me')",19
247,"('the', 'location')",19
248,"('will', 'not')",19
249,"('nice', 'and')",19
250,"('cheese', 'steak')",19
251,"('for', 'lunch')",19
252,"('walked', 'in')",19
253,"('just', 'a')",19
254,"('to', 'say')",19
255,"('bread', 'was')",19
256,"('the', 'door')",19
257,"('had', 'the')",19
258,"('they', 'do')",19
259,"('the', 'line')",19
260,"('in', 'there')",19
261,"('and', 'you')",18
262,"('rude', 'and')",18
263,"('the', 'owner')",18
264,"('only', 'one')",18
265,"('if', ""you're"")",18
266,"('good', 'but')",18
267,"('way', 'to')",18
268,"('make', 'a')",18
269,"('place', 'was')",18
270,"('have', 'the')",18
271,"('is', 'clean')",18
272,"('will', 'be')",18
273,"('of', 'this')",18
274,"('foot', 'long')",18
275,"('to', 'do')",18
276,"('the', 'fact')",18
277,"('came', 'in')",18
278,"('the', 'lady')",18
279,"('gave', 'me')",18
280,"('here', 'is')",18
281,"('a', 'small')",18
282,"('i', 'said')",18
283,"('to', 'find')",18
284,"('food', 'and')",18
285,"('the', 'back')",18
286,"('go', 'back')",18
287,"('and', 'cheese')",18
288,"('staff', 'was')",18
289,"('tried', 'to')",18
290,"('and', 'had')",17
291,"('a', 'couple')",17
292,"('there', 'and')",17
293,"('my', 'favorite')",17
294,"('chips', 'and')",17
295,"('i', ""can't"")",17
296,"('a', 'long')",17
297,"('i', 'always')",17
298,"('subway', 'i')",17
299,"('but', ""it's"")",17
300,"('so', 'much')",17
301,"('much', 'better')",17
302,"('is', 'one')",17
303,"(""don't"", 'know')",17
304,"('the', 'people')",17
305,"('to', 'give')",17
306,"('as', 'the')",17
307,"('should', 'be')",17
308,"('and', 'get')",17
309,"('and', 'this')",17
310,"(""won't"", 'be')",17
311,"('amount', 'of')",17
312,"('it', 'the')",17
313,"('get', 'it')",17
314,"('of', 'their')",17
315,"('i', 'called')",17
316,"('to', 'ask')",17
317,"('because', 'it')",17
318,"('they', 'had')",17
319,"('good', 'and')",17
320,"('it', 'took')",17
321,"('has', 'been')",17
322,"('what', 'you')",17
323,"('like', 'a')",17
324,"('the', 'subway')",17
325,"('sandwich', 'shop')",16
326,"('is', 'my')",16
327,"('thank', 'you')",16
328,"('are', 'very')",16
329,"('this', 'particular')",16
330,"('are', 'so')",16
331,"('subway', 'location')",16
332,"('be', 'a')",16
333,"('the', 'new')",16
334,"('friendly', 'the')",16
335,"('lot', 'of')",16
336,"('when', 'it')",16
337,"('was', 'so')",16
338,"('a', 'free')",16
339,"('if', 'they')",16
340,"('i', 'think')",16
341,"('subway', 'in')",16
342,"('the', 'rest')",16
343,"('the', 'employee')",16
344,"('decided', 'to')",16
345,"('and', 'she')",16
346,"('some', 'of')",16
347,"('i', 'do')",16
348,"('give', 'this')",16
349,"('very', 'nice')",15
350,"('very', 'good')",15
351,"('the', 'last')",15
352,"('over', 'the')",15
353,"('here', 'and')",15
354,"('subway', 'and')",15
355,"('the', 'veggies')",15
356,"('our', 'sandwiches')",15
357,"('great', 'and')",15
358,"('location', 'i')",15
359,"('is', 'so')",15
360,"('you', 'would')",15
361,"('it', ""wasn't"")",15
362,"('from', 'this')",15
363,"('time', 'and')",15
364,"('the', 'next')",15
365,"('it', 'up')",15
366,"('a', 'sub')",15
367,"('i', 'walked')",15
368,"('it', 'to')",15
369,"('a', 'week')",15
370,"('the', 'worst')",15
371,"('be', 'back')",15
372,"('he', 'was')",15
373,"('do', 'not')",15
374,"('fast', 'and')",15
375,"(""i've"", 'never')",15
376,"('to', 'try')",15
377,"('up', 'and')",15
378,"('can', 'get')",15
379,"('have', 'ever')",15
380,"('i', 'told')",15
381,"('my', 'food')",15
382,"('and', 'he')",15
383,"('the', 'chicken')",15
384,"(""i've"", 'ever')",15
385,"('and', 'very')",14
386,"('you', 'have')",14
387,"('order', 'i')",14
388,"(""it's"", 'not')",14
389,"('subway', 'but')",14
390,"('the', 'quality')",14
391,"('sandwich', 'is')",14
392,"('subs', 'are')",14
393,"('a', 'drink')",14
394,"('is', 'what')",14
395,"('in', 'to')",14
396,"('with', 'this')",14
397,"('a', 'new')",14
398,"(""don't"", 'have')",14
399,"('always', 'fresh')",14
400,"('sandwiches', 'and')",14
401,"('and', 'all')",14
402,"('the', 'phone')",14
403,"('one', 'in')",14
404,"('got', 'the')",14
405,"('i', 'did')",14
406,"('will', 'never')",14
407,"('the', 'street')",14
408,"('go', 'in')",14
409,"('ever', 'been')",14
